Customer Name,Cloud Account Name,Product Name,SKU Name,Term And Billing Cycle,Price book,Seller Cost (USD),Customer Cost (USD),Margin (USD),Usage Quantity,Unit,Region,Seat Count,Availability ID,Azure Customer Country,Azure Customer ID,Billing Cycle,Billing Frequency,Charge EndDate,Charge StartDate,Charge Type,Charge or Savings Plan,Currency Conversion Rates,Customer Company,Customer Company Reseller,Customer Cost (Invoiced Currency),Customer Cost (Provider Currency),Customer Country,Customer ID,Customer State,Discount Rate,Domain Name,Effective Unit Price,Entitlement Description,EntitlementID,Group Tag ID,Group Tag Label,Invoice Currency,Invoice Number,MPN ID,MSRP (USD),Margin (Invoiced Currency),Margin (Provider Currency),Meter Category,Meter ID,Meter Name,Meter Sub Category,Metered Region,Order Date,Order Number,PAC of Origin,Period Quantity,Price book ID,Product ID,Promotion EndDate,Promotion Rate,Promotion StartDate,PromotionID,Provider Currency,Publisher ID,Publisher Name,Rate,Reseller ID,Reseller MPN ID,Reseller Name,Reservation Order ID,Resource Group,Resource URI,SKU ID,Savings Plan ID,Savings Plan Order ID,Segment,Seller Cost (Invoiced Currency),Invoiced Currency,Seller Cost (Provider Currency),Provider Currency,Subscription EndDate,Subscription ID,Subscription StartDate,Type,Unit Price,Usage Type,Billing Account Number (customer),Company ABN (customer),Contact ID (Primary) (customer),Customer ACN (customer),FA Id (customer),Optus Account Status (customer),Optus Customer ID (customer)
"Test Org (Test Org)","f98d1c3a-eaba-46be-c680-3710ff693671","Microsoft 365 Business Basic","Microsoft 365 Business Basic","One-Month commitment for monthly billing","",7.474669200000001,7.474669200000001,0,1,"","",1,"CFQ7TTC0NPW0","","","One-Month commitment for monthly billing","",2024-04-19,2024-03-20,"renew","","AUD 1 -> USD 0.692099 (Rate at end of invoice month (2022-06-27))","Test Org","Test Org",7.474669200000001,10.8,"AU",10084,"NSW","0","","0","","",10008,"Optus Reseller","USD","","737234",0,0,0,"","","","","",2024-03-20,"9de969b20084","",1,0,"CFQ7TTC0LH18",,"0",,"","AUD","","Microsoft Corporation","0",0,"","","f98d1c3a-eaba-46be-c680-3710ff693671","","","0001","","","",7.474669200000001,"USD",10.8,"AUD",2024-04-19,"f98d1c3a-eaba-46be-c680-3710ff693671",2024-03-20,"billing","0","Licensed","OPTUS11","","primaryContact","","","","88990"
"Max fury (Mad max)","e9b4863a-0ddf-41a6-cfb0-2a678a480ebd","Microsoft 365 Business Basic","Microsoft 365 Business Basic","One-Month commitment for monthly billing","",7.474669200000001,7.474669200000001,0,1,"","",1,"CFQ7TTC0NPW0","","","One-Month commitment for monthly billing","",2024-04-19,2024-03-20,"renew","","AUD 1 -> USD 0.692099 (Rate at end of invoice month (2022-06-27))","Max fury","Max fury",7.474669200000001,10.8,"NL",10416,"GE","0","","0","","",10008,"Optus Reseller","USD","","737234",0,0,0,"","","","","",2024-03-20,"170734a9abb3","",1,0,"CFQ7TTC0LH18",,"0",,"","AUD","","Microsoft Corporation","0",0,"","","e9b4863a-0ddf-41a6-cfb0-2a678a480ebd","","","0001","","","",7.474669200000001,"USD",10.8,"AUD",2024-04-19,"e9b4863a-0ddf-41a6-cfb0-2a678a480ebd",2024-03-20,"billing","0","Licensed","","","","","","",""
"QA Org Test (QA)","3166bf73-107f-407e-d933-3175bb1b8867","Microsoft 365 Business Basic","Microsoft 365 Business Basic","One-Month commitment for monthly billing","",7.474669200000001,7.474669200000001,0,1,"","",1,"CFQ7TTC0NWZ0","","","One-Month commitment for monthly billing","",2024-04-02,2024-03-03,"renew","","AUD 1 -> USD 0.692099 (Rate at end of invoice month (2022-06-27))","QA Org Test","QA Org Test",7.474669200000001,10.8,"US",10276,"VA","0","","0","","",10008,"Optus Reseller","USD","","737234",0,0,0,"","","","","",2024-03-03,"8024219b4d2a","",1,0,"CFQ7TTC0LH18",,"0",,"","AUD","","Microsoft Corporation","0",0,"","","3166bf73-107f-407e-d933-3175bb1b8867","","","0001","","","",7.474669200000001,"USD",10.8,"AUD",2024-04-02,"3166bf73-107f-407e-d933-3175bb1b8867",2024-03-03,"billing","0","Licensed","","tree","","","","",""
"Max fury (Mad max)","2f9035a0-f38c-4592-d0b2-6df102edcc14","Microsoft 365 Business Basic","Microsoft 365 Business Basic","One-Month commitment for monthly billing","",7.474669200000001,7.474669200000001,0,1,"","",1,"CFQ7TTC0NXDQ","","","One-Month commitment for monthly billing","",2024-04-07,2024-03-08,"renew","","AUD 1 -> USD 0.692099 (Rate at end of invoice month (2022-06-27))","Max fury","Max fury",7.474669200000001,10.8,"NL",10416,"GE","0","","0","","",10008,"Optus Reseller","USD","","737234",0,0,0,"","","","","",2024-03-08,"327b865b29a0","",1,0,"CFQ7TTC0LH18",,"0",,"","AUD","","Microsoft Corporation","0",0,"","","2f9035a0-f38c-4592-d0b2-6df102edcc14","","","0001","","","",7.474669200000001,"USD",10.8,"AUD",2024-04-07,"2f9035a0-f38c-4592-d0b2-6df102edcc14",2024-03-08,"billing","0","Licensed","","","","","","",""
"Test Org (Test Org)","2b1da88c-63f9-4967-d7ac-775a71766b61","Microsoft 365 Business Basic","Microsoft 365 Business Basic","One-Month commitment for monthly billing","",7.474669200000001,7.474669200000001,0,1,"","",1,"CFQ7TTC0NXDQ","","","One-Month commitment for monthly billing","",2024-04-07,2024-03-08,"renew","","AUD 1 -> USD 0.692099 (Rate at end of invoice month (2022-06-27))","Test Org","Test Org",7.474669200000001,10.8,"AU",10084,"NSW","0","","0","","",10008,"Optus Reseller","USD","","737234",0,0,0,"","","","","",2024-03-08,"e0717ef0f3a0","",1,0,"CFQ7TTC0LH18",,"0",,"","AUD","","Microsoft Corporation","0",0,"","","2b1da88c-63f9-4967-d7ac-775a71766b61","","","0001","","","",7.474669200000001,"USD",10.8,"AUD",2024-04-07,"2b1da88c-63f9-4967-d7ac-775a71766b61",2024-03-08,"billing","0","Licensed","OPTUS11","","primaryContact","","","","88990"
"Test optus company (Test Customer)","b4d33e14-d824-45d3-d919-0667b9420f0f","Microsoft 365 Apps for business","Microsoft 365 Apps for business","One-Month commitment for monthly billing","",10.7967444,10.7967444,0,1,"","",1,"CFQ7TTC0R16X","","","One-Month commitment for monthly billing","",2024-04-18,2024-03-19,"renew","","AUD 1 -> USD 0.692099 (Rate at end of invoice month (2022-06-27))","Test optus company","Test optus company",10.7967444,15.6,"AU",10082,"NSW","0","","0","","",10008,"Optus Reseller","USD","","737234",0,0,0,"","","","","",2024-03-19,"804c66bb78b2","",1,0,"CFQ7TTC0LH1G",,"0",,"","AUD","","Microsoft Corporation","0",0,"","","b4d33e14-d824-45d3-d919-0667b9420f0f","","","0001","","","",10.7967444,"USD",15.6,"AUD",2024-04-18,"b4d33e14-d824-45d3-d919-0667b9420f0f",2024-03-19,"billing","0","Licensed","OPT","AccountBN","optusContact123","876ACB","","Active","DD"
"Test optus company (Test Customer)","988962e4-be25-4d5a-c87c-07460754dfb4","Microsoft 365 Apps for business","Microsoft 365 Apps for business","One-Month commitment for monthly billing","",10.7967444,10.7967444,0,1,"","",1,"CFQ7TTC0R1MH","","","One-Month commitment for monthly billing","",2024-04-02,2024-03-03,"renew","","AUD 1 -> USD 0.692099 (Rate at end of invoice month (2022-06-27))","Test optus company","Test optus company",10.7967444,15.6,"AU",10082,"NSW","0","","0","","",10008,"Optus Reseller","USD","","737234",0,0,0,"","","","","",2024-03-03,"47c5a4475b64","",1,0,"CFQ7TTC0LH1G",,"0",,"","AUD","","Microsoft Corporation","0",0,"","","988962e4-be25-4d5a-c87c-07460754dfb4","","","0001","","","",10.7967444,"USD",15.6,"AUD",2024-04-02,"988962e4-be25-4d5a-c87c-07460754dfb4",2024-03-03,"billing","0","Licensed","OPT","AccountBN","optusContact123","876ACB","","Active","DD"
"QA Org MSFT Test (Apptium)","36615118-70aa-4116-cd46-f74914543ac7","Office 365 E5","Office 365 E5","One-Month commitment for monthly billing","",99.662256,99.662256,0,2,"","",2,"CFQ7TTC0WF06","","","One-Month commitment for monthly billing","",2024-04-03,2024-03-04,"renew","","AUD 1 -> USD 0.692099 (Rate at end of invoice month (2022-06-27))","QA Org MSFT Test","QA Org MSFT Test",99.662256,144,"AU",10285,"NSW","0","","0","","",10008,"Optus Reseller","USD","","737234",0,0,0,"","","","","",2024-03-04,"64bac4cf53c6","",1,0,"CFQ7TTC0LF8S",,"0",,"","AUD","","Microsoft Corporation","0",0,"","","36615118-70aa-4116-cd46-f74914543ac7","","","0002","","","",99.662256,"USD",144,"AUD",2024-04-03,"36615118-70aa-4116-cd46-f74914543ac7",2024-03-04,"billing","0","Licensed","","","","","","",""
"Max fury (Mad max)","67b5deb2-4264-4739-d44b-6fc484a19d51","Microsoft 365 Business Basic","Microsoft 365 Business Basic","One-Month commitment for monthly billing","",7.474669200000001,7.474669200000001,0,1,"","",1,"CFQ7TTC0NPW0","","","One-Month commitment for monthly billing","",2024-04-20,2024-03-21,"renew","","AUD 1 -> USD 0.692099 (Rate at end of invoice month (2022-06-27))","Max fury","Max fury",7.474669200000001,10.8,"NL",10416,"GE","0","","0","","",10008,"Optus Reseller","USD","","737234",0,0,0,"","","","","",2024-03-21,"9e0d91d9e4d1","",1,0,"CFQ7TTC0LH18",,"0",,"","AUD","","Microsoft Corporation","0",0,"","","67b5deb2-4264-4739-d44b-6fc484a19d51","","","0001","","","",7.474669200000001,"USD",10.8,"AUD",2024-04-20,"67b5deb2-4264-4739-d44b-6fc484a19d51",2024-03-21,"billing","0","Licensed","","","","","","",""
"Demo customer MSFT (Demo customer MSFT)","2fb3755f-cc40-49d5-ca55-3b0b490052d6","Microsoft 365 Business Basic","Microsoft 365 Business Basic","One-Month commitment for monthly billing","",7.474669200000001,7.474669200000001,0,1,"","",1,"CFQ7TTC0NPW0","","","One-Month commitment for monthly billing","",2024-04-20,2024-03-21,"renew","","AUD 1 -> USD 0.692099 (Rate at end of invoice month (2022-06-27))","Demo customer MSFT","Demo customer MSFT",7.474669200000001,10.8,"AU",10437,"NSW","0","","0","","",10008,"Optus Reseller","USD","","737234",0,0,0,"","","","","",2024-03-21,"a6fd53c48b39","",1,0,"CFQ7TTC0LH18",,"0",,"","AUD","","Microsoft Corporation","0",0,"","","2fb3755f-cc40-49d5-ca55-3b0b490052d6","","","0001","","","",7.474669200000001,"USD",10.8,"AUD",2024-04-20,"2fb3755f-cc40-49d5-ca55-3b0b490052d6",2024-03-21,"billing","0","Licensed","","","","","","",""
